movieCd,image,link,userRating
20182530,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,8.53
20185881,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177374_P100_112832.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177374,9.07
20177539,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167099_P13_101134.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167099,7.20
20196723,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182206_P12_121114.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182206,8.63
20180937,https://ssl.pstatic.net/imgmovie/mdi/mit110/1489/148909_P29_164758.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148909,8.77
20177282,https://ssl.pstatic.net/imgmovie/mdi/mit110/1709/170953_P08_140411.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170953,8.10
20176442,https://ssl.pstatic.net/imgmovie/mdi/mit110/1590/159070_P13_114738.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159070,3.84
20195743,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,6.37
20195791,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167629_P17_105046.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167629,4.50
20186261,https://ssl.pstatic.net/imgmovie/mdi/mit110/1091/109193_P21_103935.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109193,9.24
20188282,https://ssl.pstatic.net/imgmovie/mdi/mit110/0667/66728_P38_102726.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728,8.71
20195915,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181411_P02_101349.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181411,7.39
20020222,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,8.86
20185576,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181409_P30_100656.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181409,6.58
20184888,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151151_P24_105029.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151151,8.18
20174169,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169078_P66_101231.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169078,5.89
20180868,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164173_P45_171744.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164173,6.08
20162003,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48233_P05_140218.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48233,8.29
20185478,https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181554_P23_112202.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181554,8.75
20185444,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125438_P06_114959.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125438,8.73
20184105,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,9.07
20185124,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180220_P01_102406.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180220,9.28
20184896,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174830_P17_104205.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174830,9.59
20176251,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164172_P08_114039.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164172,8.19
20189463,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,8.68
20182544,https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163826_P07_174644.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163826,7.40
20186324,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144318_P19_100103.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144318,9.31
20185485,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,9.42
20189385,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168056_P10_100606.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168056,7.19
20180290,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151153_P19_095147.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151153,8.35
20183915,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180372_P16_101254.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180372,9.14
20182588,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172137_P12_134909.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172137,6.05
20186281,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164139_P12_153521.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164139,8.09
20170658,https://ssl.pstatic.net/imgmovie/mdi/mit110/1660/166092_P35_104446.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166092,5.21
20175547,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164101_P62_155759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164101,8.36
20183785,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180379_P32_111508.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180379,9.13
20184187,https://ssl.pstatic.net/imgmovie/mdi/mit110/1523/152344_P75_112734.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152344,5.56
20182421,https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150688_P30_101919.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150688,8.33
20168773,https://ssl.pstatic.net/imgmovie/mdi/mit110/1572/157297_P23_134212.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=157297,6.33
20183479,https://ssl.pstatic.net/imgmovie/mdi/mit110/1729/172975_P10_141815.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172975,8.29
20183238,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171725_P18_175530.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171725,9.21
20177552,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164192_P45_134107.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164192,8.16
20179230,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171755_P39_140011.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171755,6.01
20183375,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172187_P19_110125.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172187,8.97
20189843,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158622_P18_142307.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158622,7.16
20182082,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171452_P19_174244.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171452,7.81
20178825,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156496_P24_153246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156496,6.15
20183745,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180384_P14_152246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180384,7.73
20177538,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167638_P71_133542.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,8.63
20184481,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174835_P26_105639.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174835,7.52
20181905,https://ssl.pstatic.net/imgmovie/mdi/mit110/1442/144266_P15_111933.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144266,6.61
20176814,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154255_P24_095824.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154255,6.18
20183073,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144906_P15_103017.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144906,9.53
20181171,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173692_P12_102159.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173692,9.17
20183007,https://ssl.pstatic.net/imgmovie/mdi/mit110/1618/161868_P24_151256.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161868,7.88
20182966,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179138_P01_151818.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179138,4.54
